H,c_mean,c_med,p_05,p_95
0,0.0724036247017071,0.0654218007647432,0.03807766720247095,0.11013973374516423
1,0.07395275329278947,0.07177405005504842,0.03757805720231868,0.11035972857326008
2,0.07837915182938684,0.07637774632490663,0.04365823752022899,0.12033847979678386
3,0.08466093212152609,0.07956195271989329,0.04861361780531342,0.12933434505261063
4,0.08953867430859117,0.08374780943760239,0.0569621560174559,0.13925307742625892
5,0.09158735696217048,0.0833037204974852,0.04925425366965724,0.1494941911999908
6,0.09248471445828191,0.09124872178424887,0.04387944946885669,0.14571356926595386
7,0.0926560698988741,0.09291121507630802,0.04843169035023842,0.13940508304222154
8,0.09188251278723304,0.09140741672202699,0.05049595574702632,0.1304787959207703
9,0.09083555796401759,0.09062801870589239,0.054299147883357816,0.1302737410327592
10,0.11562185905682187,0.11529152671387614,0.05252542570771488,0.17973482064313098
11,0.13471568153309005,0.12860994273881501,0.08317854549958358,0.19187484751543907
12,0.1206760290314851,0.11985064788274245,0.08088433925618349,0.17193489920030916
13,0.09950973931098707,0.0917814842281488,0.059678209397543175,0.15967150477960293
14,0.09433512830782127,0.09581289985406734,0.052369942395991353,0.14533752138667363
15,0.09646109663346322,0.09395780787644625,0.049148651434687024,0.13696641260962192
16,0.0942764209003816,0.09254519644755364,0.048850139284871384,0.14157404568670204
17,0.08680921201342869,0.08165314032471778,0.055808570571841055,0.1330829308844917
18,0.08961672648451308,0.08621264949914115,0.05404512455799767,0.13882780679098855
19,0.08886808641190012,0.08149632317875577,0.047616328612369696,0.14007231000508788
20,0.09072652599289294,0.08105725451251589,0.05526674797805253,0.1346653042219821
21,0.08188959280936531,0.07150817830984373,0.04762449273950065,0.14153101611314642
22,0.0785590419043259,0.07751851419672494,0.03807876341064577,0.12942709151743625
23,0.07267140450997077,0.07504199985239901,0.036645989653213515,0.12077920613454861
