z_column,releases,R_DIS_all
ALL,2017-12-06 00:00:00,569.5839413472638
ALL,2017-12-06 01:00:00,576.5325531303682
ALL,2017-12-06 02:00:00,698.9583096144236
ALL,2017-12-06 03:00:00,676.7767476479678
ALL,2017-12-06 04:00:00,607.17327950455
ALL,2017-12-06 05:00:00,577.982333702574
ALL,2017-12-06 06:00:00,708.8053511068546
ALL,2017-12-06 07:00:00,761.4110354087408
ALL,2017-12-06 08:00:00,721.2173802146197
ALL,2017-12-06 09:00:00,714.0263918531148
ALL,2017-12-06 10:00:00,721.5013270854149
ALL,2017-12-06 11:00:00,755.6931256812613
ALL,2017-12-06 12:00:00,737.0769779293195
ALL,2017-12-06 13:00:00,685.7798038857358
ALL,2017-12-06 14:00:00,701.3788141953726
ALL,2017-12-06 15:00:00,690.8621830044317
ALL,2017-12-06 16:00:00,698.7854924624964
ALL,2017-12-06 17:00:00,671.8224509484669
ALL,2017-12-06 18:00:00,684.6983239885196
ALL,2017-12-06 19:00:00,671.4729450371035
ALL,2017-12-06 20:00:00,655.7230599218875
ALL,2017-12-06 21:00:00,647.9388816056917
ALL,2017-12-06 22:00:00,618.6580961918669
ALL,2017-12-06 23:00:00,597.4453476650184
ALL,2017-12-07 00:00:00,596.1837064812889
ALL,2017-12-07 01:00:00,579.3800973398809
ALL,2017-12-07 02:00:00,608.859568267484
ALL,2017-12-07 03:00:00,617.2151557466328
ALL,2017-12-07 04:00:00,618.311611473757
ALL,2017-12-07 05:00:00,610.9507799830745
ALL,2017-12-07 06:00:00,608.7224863367167
ALL,2017-12-07 07:00:00,599.3661968337258
ALL,2017-12-07 08:00:00,625.1948478656225
ALL,2017-12-07 09:00:00,647.0052754762867
ALL,2017-12-07 10:00:00,633.8984831275876
ALL,2017-12-07 11:00:00,614.7673527499267
ALL,2017-12-07 12:00:00,610.6073276631657
ALL,2017-12-07 13:00:00,608.1334662180161
ALL,2017-12-07 14:00:00,590.928566416152
ALL,2017-12-07 15:00:00,587.0700051624348
ALL,2017-12-07 16:00:00,585.2024032694306
ALL,2017-12-07 17:00:00,608.4470740147028
ALL,2017-12-07 18:00:00,560.0113445817778
ALL,2017-12-07 19:00:00,536.8264506638501
ALL,2017-12-07 20:00:00,607.4804596845178
ALL,2017-12-07 21:00:00,588.8162591944273
ALL,2017-12-07 22:00:00,519.1521772887244
ALL,2017-12-07 23:00:00,528.4615931881547
ALL,2017-12-08 00:00:00,541.0060005997866
ALL,2017-12-08 01:00:00,582.6306069076622
ALL,2017-12-08 02:00:00,578.7681266039021
ALL,2017-12-08 03:00:00,524.22294750773
ALL,2017-12-08 04:00:00,526.7051741170638
ALL,2017-12-08 05:00:00,522.401857356084
ALL,2017-12-08 06:00:00,508.8864475928964
ALL,2017-12-08 07:00:00,482.113962686969
ALL,2017-12-08 08:00:00,528.3526003078417
ALL,2017-12-08 09:00:00,538.0806185693059
ALL,2017-12-08 10:00:00,559.1172157522525
ALL,2017-12-08 11:00:00,526.9365741353658
ALL,2017-12-08 12:00:00,505.5822500055884
ALL,2017-12-08 13:00:00,549.2562419223422
ALL,2017-12-08 14:00:00,555.0076841414989
ALL,2017-12-08 15:00:00,519.0769464882773
ALL,2017-12-08 16:00:00,503.7356961462096
ALL,2017-12-08 17:00:00,510.8424616808092
ALL,2017-12-08 18:00:00,506.02152163776674
ALL,2017-12-08 19:00:00,509.48890709430657
ALL,2017-12-08 20:00:00,554.6606454830732
ALL,2017-12-08 21:00:00,569.754848260967
ALL,2017-12-08 22:00:00,544.4161447509125
ALL,2017-12-08 23:00:00,539.1514544672608
ALL,2017-12-09 00:00:00,524.7713006883282
ALL,2017-12-09 01:00:00,519.8863130615075
ALL,2017-12-09 02:00:00,510.7058043147602
ALL,2017-12-09 03:00:00,503.13193296774796
ALL,2017-12-09 04:00:00,493.75980717605177
ALL,2017-12-09 05:00:00,484.87780368947296
ALL,2017-12-09 06:00:00,479.0116302252476
ALL,2017-12-09 07:00:00,485.52369750291655
ALL,2017-12-09 08:00:00,449.7247274703797
ALL,2017-12-09 09:00:00,440.16068957348364
ALL,2017-12-09 10:00:00,451.63559792501076
ALL,2017-12-09 11:00:00,451.4167258651911
ALL,2017-12-09 12:00:00,431.643196204847
ALL,2017-12-09 13:00:00,431.475112018828
ALL,2017-12-09 14:00:00,430.6644762855404
ALL,2017-12-09 15:00:00,435.5400587155879
ALL,2017-12-09 16:00:00,435.3331116697389
ALL,2017-12-09 17:00:00,432.0354902074222
ALL,2017-12-09 18:00:00,427.33611094699677
ALL,2017-12-09 19:00:00,436.10432991136526
ALL,2017-12-09 20:00:00,436.19554991337867
ALL,2017-12-09 21:00:00,483.5821380136808
ALL,2017-12-09 22:00:00,472.39067087630195
ALL,2017-12-09 23:00:00,479.4403640439408
ALL,2017-12-10 00:00:00,515.0419609477157
ALL,2017-12-10 01:00:00,575.9978103044006
ALL,2017-12-10 02:00:00,578.3244480556888
ALL,2017-12-10 03:00:00,546.5394665067042
ALL,2017-12-10 04:00:00,515.6915810540805
ALL,2017-12-10 05:00:00,620.6100207091168
ALL,2017-12-10 06:00:00,704.6211212586596
ALL,2017-12-10 07:00:00,640.0996760905987
ALL,2017-12-10 08:00:00,557.517317134676
ALL,2017-12-10 09:00:00,490.92470520628615
ALL,2017-12-10 10:00:00,465.82689150493894
ALL,2017-12-10 11:00:00,439.3044591698812
ALL,2017-12-10 12:00:00,426.09915003619204
ALL,2017-12-10 13:00:00,408.97146173776207
ALL,2017-12-10 14:00:00,414.18687920721055
ALL,2017-12-10 15:00:00,422.00784182453816
ALL,2017-12-10 16:00:00,375.9625650658953
ALL,2017-12-10 17:00:00,414.2443986995149
ALL,2017-12-10 18:00:00,426.28165818955745
ALL,2017-12-10 19:00:00,451.6921131424482
ALL,2017-12-10 20:00:00,490.55556172347474
ALL,2017-12-10 21:00:00,461.046100829215
ALL,2017-12-10 22:00:00,447.28696550788175
ALL,2017-12-10 23:00:00,459.1087195932723
ALL,2017-12-11 00:00:00,449.69032332157883
ALL,2017-12-11 01:00:00,457.3238397662643
ALL,2017-12-11 02:00:00,357.8611432931027
ALL,2017-12-11 03:00:00,412.63743302784536
ALL,2017-12-11 04:00:00,403.40245295391253
ALL,2017-12-11 05:00:00,414.09416931518354
ALL,2017-12-11 06:00:00,411.85407759964005
ALL,2017-12-11 07:00:00,464.9807965344424
ALL,2017-12-11 08:00:00,452.35225489197904
ALL,2017-12-11 09:00:00,423.31103833560996
ALL,2017-12-11 10:00:00,428.178587553377
ALL,2017-12-11 11:00:00,439.84001771551357
ALL,2017-12-11 12:00:00,445.8743344562623
ALL,2017-12-11 13:00:00,433.84082967941333
ALL,2017-12-11 14:00:00,388.0650521471979
ALL,2017-12-11 15:00:00,431.5595244875892
ALL,2017-12-11 16:00:00,464.06290429754637
ALL,2017-12-11 17:00:00,443.4508581153414
ALL,2017-12-11 18:00:00,489.6854209790499
ALL,2017-12-11 19:00:00,467.4637612460108
ALL,2017-12-11 20:00:00,466.94598600926093
ALL,2017-12-11 21:00:00,464.89460917743435
ALL,2017-12-11 22:00:00,508.4635312087359
ALL,2017-12-11 23:00:00,506.98397992499577
ALL,2017-12-12 00:00:00,494.83086725694756
ALL,2017-12-12 01:00:00,532.6048923366307
ALL,2017-12-12 02:00:00,518.5595816473075
ALL,2017-12-12 03:00:00,501.54607298758197
ALL,2017-12-12 04:00:00,486.0303875611523
ALL,2017-12-12 05:00:00,476.6694154045309
ALL,2017-12-12 06:00:00,506.55005774646406
ALL,2017-12-12 07:00:00,481.8589899993042
ALL,2017-12-12 08:00:00,478.66643341914175
ALL,2017-12-12 09:00:00,476.62925523729723
ALL,2017-12-12 10:00:00,474.86218276769927
ALL,2017-12-12 11:00:00,470.29524153645815
ALL,2017-12-12 12:00:00,450.24975091862484
ALL,2017-12-12 13:00:00,433.36028057873676
ALL,2017-12-12 14:00:00,433.96799360517724
ALL,2017-12-12 15:00:00,412.1140647785697
ALL,2017-12-12 16:00:00,445.57395595143214
ALL,2017-12-12 17:00:00,497.02944108792434
ALL,2017-12-12 18:00:00,527.5391901203386
ALL,2017-12-12 19:00:00,532.844054743553
ALL,2017-12-12 20:00:00,547.5137179576479
ALL,2017-12-12 21:00:00,532.2534093354814
ALL,2017-12-12 22:00:00,541.0517235822895
ALL,2017-12-12 23:00:00,532.3929542112802
ALL,2017-12-13 00:00:00,502.84456178390036
ALL,2017-12-13 01:00:00,463.37790649839457
ALL,2017-12-13 02:00:00,475.84740836427557
ALL,2017-12-13 03:00:00,472.1196030625097
ALL,2017-12-13 04:00:00,473.7881641909603
ALL,2017-12-13 05:00:00,465.1728114600862
ALL,2017-12-13 06:00:00,459.67607587281344
ALL,2017-12-13 07:00:00,462.631544659015
ALL,2017-12-13 08:00:00,467.96527850116615
ALL,2017-12-13 09:00:00,502.7954983981728
ALL,2017-12-13 10:00:00,519.5434172101301
ALL,2017-12-13 11:00:00,499.2103883434127
ALL,2017-12-13 12:00:00,482.2333386745773
ALL,2017-12-13 13:00:00,471.3755853400195
ALL,2017-12-13 14:00:00,430.7659585124445
ALL,2017-12-13 15:00:00,426.22357026931957
ALL,2017-12-13 16:00:00,453.87058708628547
ALL,2017-12-13 17:00:00,462.0745820923187
ALL,2017-12-13 18:00:00,447.44464093321864
ALL,2017-12-13 19:00:00,474.7109750584529
ALL,2017-12-13 20:00:00,502.16628721961325
ALL,2017-12-13 21:00:00,494.80733085800495
ALL,2017-12-13 22:00:00,548.6993774996213
ALL,2017-12-13 23:00:00,529.3608142126562
ALL,2017-12-14 00:00:00,577.1869194156626
ALL,2017-12-14 01:00:00,520.8587781418557
ALL,2017-12-14 02:00:00,532.2325659019058
ALL,2017-12-14 03:00:00,560.0840744316497
ALL,2017-12-14 04:00:00,522.5410115789077
ALL,2017-12-14 05:00:00,532.0588206487046
ALL,2017-12-14 06:00:00,598.4347830055391
ALL,2017-12-14 07:00:00,568.9254494420882
ALL,2017-12-14 08:00:00,495.21972586190196
