z_column,releases,ZSL_all
ALL,2017-12-06 00:00:00,5549.878651662917
ALL,2017-12-06 01:00:00,5615.721617626954
ALL,2017-12-06 02:00:00,5830.521769254312
ALL,2017-12-06 03:00:00,5813.2249987656705
ALL,2017-12-06 04:00:00,5797.090656181181
ALL,2017-12-06 05:00:00,5787.959437964059
ALL,2017-12-06 06:00:00,6507.173382461519
ALL,2017-12-06 07:00:00,6601.597031250787
ALL,2017-12-06 08:00:00,6487.975603957203
ALL,2017-12-06 09:00:00,6679.403329950799
ALL,2017-12-06 10:00:00,6647.04420357133
ALL,2017-12-06 11:00:00,6869.8248327642
ALL,2017-12-06 12:00:00,6500.858502731384
ALL,2017-12-06 13:00:00,6097.417516966656
ALL,2017-12-06 14:00:00,6223.693793193313
ALL,2017-12-06 15:00:00,6057.776990388898
ALL,2017-12-06 16:00:00,6270.323135163366
ALL,2017-12-06 17:00:00,5989.53063632358
ALL,2017-12-06 18:00:00,6365.349042933602
ALL,2017-12-06 19:00:00,6435.641083363738
ALL,2017-12-06 20:00:00,6119.125984444225
ALL,2017-12-06 21:00:00,6007.0972832407715
ALL,2017-12-06 22:00:00,5485.01406047202
ALL,2017-12-06 23:00:00,5186.23288031952
ALL,2017-12-07 00:00:00,5289.968256529541
ALL,2017-12-07 01:00:00,5277.227730756788
ALL,2017-12-07 02:00:00,5748.9704564007425
ALL,2017-12-07 03:00:00,5881.680863804703
ALL,2017-12-07 04:00:00,5865.929549888836
ALL,2017-12-07 05:00:00,5818.718470785874
ALL,2017-12-07 06:00:00,5772.590129315079
ALL,2017-12-07 07:00:00,5690.231703370547
ALL,2017-12-07 08:00:00,5559.94822304335
ALL,2017-12-07 09:00:00,5332.831281096814
ALL,2017-12-07 10:00:00,5237.211516075643
ALL,2017-12-07 11:00:00,5414.501218201926
ALL,2017-12-07 12:00:00,5513.256607856856
ALL,2017-12-07 13:00:00,5521.682381560025
ALL,2017-12-07 14:00:00,5588.197196588531
ALL,2017-12-07 15:00:00,5620.664216340945
ALL,2017-12-07 16:00:00,5602.191612408451
ALL,2017-12-07 17:00:00,5690.973937681824
ALL,2017-12-07 18:00:00,5605.619041207989
ALL,2017-12-07 19:00:00,5452.807285094173
ALL,2017-12-07 20:00:00,5650.4898755728045
ALL,2017-12-07 21:00:00,5773.707768928133
ALL,2017-12-07 22:00:00,5384.888427541212
ALL,2017-12-07 23:00:00,5414.233031495113
ALL,2017-12-08 00:00:00,5533.647996319952
ALL,2017-12-08 01:00:00,5692.471876778169
ALL,2017-12-08 02:00:00,5698.171798544586
ALL,2017-12-08 03:00:00,5582.024416849879
ALL,2017-12-08 04:00:00,5617.166691185682
ALL,2017-12-08 05:00:00,5619.506866839686
ALL,2017-12-08 06:00:00,5600.67013312931
ALL,2017-12-08 07:00:00,5484.007773499961
ALL,2017-12-08 08:00:00,5662.708806210124
ALL,2017-12-08 09:00:00,5688.870761584371
ALL,2017-12-08 10:00:00,5596.587583884215
ALL,2017-12-08 11:00:00,5642.119213774791
ALL,2017-12-08 12:00:00,5670.740813251344
ALL,2017-12-08 13:00:00,5576.619527710409
ALL,2017-12-08 14:00:00,5517.142235423697
ALL,2017-12-08 15:00:00,5449.620731693818
ALL,2017-12-08 16:00:00,5409.162919096299
ALL,2017-12-08 17:00:00,5532.98884651675
ALL,2017-12-08 18:00:00,5555.475457975868
ALL,2017-12-08 19:00:00,5792.545725262198
ALL,2017-12-08 20:00:00,6173.486078344281
ALL,2017-12-08 21:00:00,6400.938903049288
ALL,2017-12-08 22:00:00,6303.257974064966
ALL,2017-12-08 23:00:00,6342.5800716565345
ALL,2017-12-09 00:00:00,6294.971356832168
ALL,2017-12-09 01:00:00,6348.418495563058
