normalized,z_column,releases,conc_all
0,ALL,2017-12-06 00:00:00,326970.2786211663
0,ALL,2017-12-06 01:00:00,324558.14978137205
0,ALL,2017-12-06 02:00:00,305927.4660985009
0,ALL,2017-12-06 03:00:00,308522.78423502
0,ALL,2017-12-06 04:00:00,312562.2266950255
0,ALL,2017-12-06 05:00:00,312949.3108733128
0,ALL,2017-12-06 06:00:00,281876.4993853497
0,ALL,2017-12-06 07:00:00,278650.4925723865
0,ALL,2017-12-06 08:00:00,280307.67555272306
0,ALL,2017-12-06 09:00:00,274912.77092485875
0,ALL,2017-12-06 10:00:00,265335.0213767653
0,ALL,2017-12-06 11:00:00,272146.29614181933
0,ALL,2017-12-06 12:00:00,291572.03864272754
0,ALL,2017-12-06 13:00:00,289375.3478162348
0,ALL,2017-12-06 14:00:00,284163.96341500245
0,ALL,2017-12-06 15:00:00,288745.9318000007
0,ALL,2017-12-06 16:00:00,282614.43673335353
0,ALL,2017-12-06 17:00:00,289511.3418002486
0,ALL,2017-12-06 18:00:00,282642.0604504281
0,ALL,2017-12-06 19:00:00,287111.2700826378
0,ALL,2017-12-06 20:00:00,295974.5564527377
0,ALL,2017-12-06 21:00:00,298084.3579270019
0,ALL,2017-12-06 22:00:00,312280.1936091529
0,ALL,2017-12-06 23:00:00,319620.61047266703
0,ALL,2017-12-07 00:00:00,316556.3554148115
0,ALL,2017-12-07 01:00:00,315460.5736050367
0,ALL,2017-12-07 02:00:00,328514.57217258366
0,ALL,2017-12-07 03:00:00,328909.31374313316
0,ALL,2017-12-07 04:00:00,329534.56802414026
0,ALL,2017-12-07 05:00:00,326945.836709367
0,ALL,2017-12-07 06:00:00,324469.98928634357
0,ALL,2017-12-07 07:00:00,323587.9585942258
0,ALL,2017-12-07 08:00:00,324443.2868475568
0,ALL,2017-12-07 09:00:00,328094.12175169657
0,ALL,2017-12-07 10:00:00,331211.8868337638
0,ALL,2017-12-07 11:00:00,333277.1193890516
0,ALL,2017-12-07 12:00:00,331433.22761058446
0,ALL,2017-12-07 13:00:00,331773.9533951211
0,ALL,2017-12-07 14:00:00,332614.69933051645
0,ALL,2017-12-07 15:00:00,333221.63463942084
0,ALL,2017-12-07 16:00:00,333654.5354481352
0,ALL,2017-12-07 17:00:00,333263.0012608222
0,ALL,2017-12-07 18:00:00,334020.00304083
0,ALL,2017-12-07 19:00:00,333126.3656205999
0,ALL,2017-12-07 20:00:00,330627.0296306258
0,ALL,2017-12-07 21:00:00,334794.5977520737
0,ALL,2017-12-07 22:00:00,337163.0194471153
0,ALL,2017-12-07 23:00:00,336202.1451269026
0,ALL,2017-12-08 00:00:00,332738.5356249122
0,ALL,2017-12-08 01:00:00,331089.95672098116
0,ALL,2017-12-08 02:00:00,331568.53001415805
0,ALL,2017-12-08 03:00:00,335829.7869784349
0,ALL,2017-12-08 04:00:00,332811.031537653
0,ALL,2017-12-08 05:00:00,328991.24447128037
0,ALL,2017-12-08 06:00:00,327181.0416715442
0,ALL,2017-12-08 07:00:00,327156.7535866785
0,ALL,2017-12-08 08:00:00,324222.25429470534
0,ALL,2017-12-08 09:00:00,320728.81325520977
0,ALL,2017-12-08 10:00:00,327482.1239606412
0,ALL,2017-12-08 11:00:00,331284.46613585454
0,ALL,2017-12-08 12:00:00,330061.11710798444
0,ALL,2017-12-08 13:00:00,324917.84669913526
0,ALL,2017-12-08 14:00:00,328571.8609938042
0,ALL,2017-12-08 15:00:00,333436.4084627567
