lab_nc06,z_column,releases,zsl_lab_nc06
05_PW,ALL,2017-12-06 00:00:00,4934.9363831215305
05_PW,ALL,2017-12-06 01:00:00,4840.809057406686
05_PW,ALL,2017-12-06 02:00:00,4733.089226721021
05_PW,ALL,2017-12-06 03:00:00,4894.769184891721
05_PW,ALL,2017-12-06 04:00:00,4882.73188146016
05_PW,ALL,2017-12-06 05:00:00,4907.095402737249
05_PW,ALL,2017-12-06 06:00:00,4889.879627384191
05_PW,ALL,2017-12-06 07:00:00,5397.110062282268
05_PW,ALL,2017-12-06 08:00:00,5419.832715061191
05_PW,ALL,2017-12-06 09:00:00,5349.965337324594
05_PW,ALL,2017-12-06 10:00:00,5418.689529912421
05_PW,ALL,2017-12-06 11:00:00,5578.528409933179
05_PW,ALL,2017-12-06 12:00:00,5799.098301953273
05_PW,ALL,2017-12-06 13:00:00,5823.429755417764
05_PW,ALL,2017-12-06 14:00:00,5825.79392971615
05_PW,ALL,2017-12-06 15:00:00,5779.084172032941
05_PW,ALL,2017-12-06 16:00:00,5661.616019866691
05_PW,ALL,2017-12-06 17:00:00,5660.739498367208
05_PW,ALL,2017-12-06 18:00:00,5428.138531485714
05_PW,ALL,2017-12-06 19:00:00,5361.264745145765
05_PW,ALL,2017-12-06 20:00:00,5490.198107057549
05_PW,ALL,2017-12-06 21:00:00,5437.535619968545
05_PW,ALL,2017-12-06 22:00:00,5484.172375124574
05_PW,ALL,2017-12-06 23:00:00,5560.113343722721
05_PW,ALL,2017-12-07 00:00:00,5264.129534222655
05_PW,ALL,2017-12-07 01:00:00,5311.142465639909
05_PW,ALL,2017-12-07 02:00:00,5493.125489226466
05_PW,ALL,2017-12-07 03:00:00,5586.299874356691
05_PW,ALL,2017-12-07 04:00:00,5434.6315719852955
05_PW,ALL,2017-12-07 05:00:00,5526.88694617532
05_PW,ALL,2017-12-07 06:00:00,5604.79086118921
05_PW,ALL,2017-12-07 07:00:00,5587.83921413405
05_PW,ALL,2017-12-07 08:00:00,5626.219846821177
05_PW,ALL,2017-12-07 09:00:00,5600.869704502898
05_PW,ALL,2017-12-07 10:00:00,5637.483164847363
05_PW,ALL,2017-12-07 11:00:00,5577.728930381491
05_PW,ALL,2017-12-07 12:00:00,5334.14598005889
05_PW,ALL,2017-12-07 13:00:00,5129.346270297113
05_PW,ALL,2017-12-07 14:00:00,5139.7287345332325
05_PW,ALL,2017-12-07 15:00:00,5180.731519148927
05_PW,ALL,2017-12-07 16:00:00,5234.810489905775
05_PW,ALL,2017-12-07 17:00:00,5296.304924813003
05_PW,ALL,2017-12-07 18:00:00,5442.915287224047
05_PW,ALL,2017-12-07 19:00:00,5522.812931133146
05_PW,ALL,2017-12-07 20:00:00,5578.926547306852
05_PW,ALL,2017-12-07 21:00:00,5609.153731067865
05_PW,ALL,2017-12-07 22:00:00,5612.045493953571
05_PW,ALL,2017-12-07 23:00:00,5474.525587761439
05_PW,ALL,2017-12-08 00:00:00,5563.069344978669
