Time,theta_e,temp,wa,va,ua,theta,rh,QVAPOR
2017-12-02 00:00:00,344.10797,275.3722,0.5768249,2.3635917,3.067278,326.6086,63.705177,0.0051888265
2017-12-02 00:15:00,343.78836,274.92456,-0.14908394,-2.7049494,-0.18502429,325.87802,67.74919,0.0053323265
2017-12-02 00:30:00,342.0276,274.6721,-0.34887907,-3.6666803,-1.3463333,325.62457,62.951103,0.0048679216
2017-12-02 00:45:00,342.6097,274.70798,-0.1890335,-3.640776,-0.18673298,325.6501,65.03032,0.0050407886
2017-12-02 01:00:00,341.58734,275.03952,-0.6365534,-4.2912846,-2.9759245,325.9864,58.126476,0.0046115
2017-12-02 01:15:00,337.22977,275.60425,-0.25658253,-3.0863314,-1.8435853,326.68735,36.821102,0.0030428683
2017-12-02 01:30:00,335.99002,275.69235,-0.24704905,-3.2324457,-1.4087884,326.7844,31.694733,0.0026355616
2017-12-02 01:45:00,334.37723,275.93674,-0.31196505,-3.3053467,-1.688891,327.06573,24.381508,0.0020629189
2017-12-02 02:00:00,333.12903,276.20883,-0.29675558,-2.7813966,-1.7748141,327.4136,18.389124,0.0015867825
2017-12-02 02:15:00,333.03903,276.11606,-0.28603777,-2.025939,-1.016975,327.30313,18.589523,0.0015935096
2017-12-02 02:30:00,334.03036,275.76642,-0.12132497,-1.7996593,-0.2726007,326.9153,23.978924,0.0020054623
2017-12-02 02:45:00,335.17468,275.46698,-0.0996593,-2.1694233,-0.015469328,326.54776,30.090452,0.0024629724
2017-12-02 03:00:00,336.1481,275.3363,-0.18147174,-2.4109812,-0.24251041,326.43234,34.44356,0.0027942194
2017-12-02 03:15:00,336.4576,275.1386,-0.12943883,-2.0734482,-0.25200897,326.20425,37.01292,0.0029606046
2017-12-02 03:30:00,336.83212,274.92288,-0.1069919,-1.7855463,-0.017285883,325.94485,40.093304,0.0031575826
2017-12-02 03:45:00,337.17023,274.752,-0.10674748,-1.9446745,-0.008480951,325.7704,42.62626,0.0033170765
2017-12-02 04:00:00,336.84665,274.7115,-0.12899692,-1.9966567,-0.43093842,325.71698,41.693615,0.0032348633
2017-12-02 04:15:00,335.7276,274.89627,-0.19365266,-1.6584557,-0.7741053,325.9363,35.90294,0.002822864
2017-12-02 04:30:00,334.98816,275.12198,-0.18044427,-0.7030066,-0.90798855,326.20142,31.471483,0.0025148091
2017-12-02 04:45:00,334.76367,275.15387,-0.050220706,0.34375235,-0.28702873,326.25513,30.336899,0.0024301163
2017-12-02 05:00:00,334.69974,275.06003,0.028003102,0.3057586,-0.11401014,326.13757,30.762136,0.002447476
2017-12-02 05:15:00,334.91785,274.86792,0.05267833,0.42597204,-0.38024676,325.9207,32.893703,0.0025814988
2017-12-02 05:30:00,335.65433,274.48618,0.06698213,0.7380159,-0.17777613,325.49576,38.496166,0.0029401502
2017-12-02 05:45:00,336.61865,274.01428,0.018204924,0.47170472,-0.17098613,324.94962,46.20576,0.0034111876
2017-12-02 06:00:00,337.0172,273.8226,0.023356963,0.05300384,0.07706842,324.72443,49.541325,0.0036070948
2017-12-02 06:15:00,336.58026,273.75964,-0.047542553,-0.56868005,-0.086397894,324.65778,48.19724,0.0034935526
2017-12-02 06:30:00,335.60092,273.91534,-0.11328158,-0.43109047,-0.42909628,324.85065,42.687473,0.0031295733
2017-12-02 06:45:00,335.24402,274.0206,-0.06304714,0.09948294,-0.23935638,324.98657,40.28728,0.0029765596
2017-12-02 07:00:00,334.8325,274.07993,-0.07086158,-0.14880863,-0.2143848,325.0591,38.104546,0.0028274697
2017-12-02 07:15:00,334.03638,274.23337,-0.052722998,-0.203787,-0.03755586,325.2448,33.665546,0.0025260507
2017-12-02 07:30:00,333.78217,274.20752,0.0056753666,-0.115521,0.21254827,325.21387,32.827168,0.0024585393
2017-12-02 07:45:00,334.1855,274.068,-0.03535072,0.19226094,-0.36924106,325.04428,35.53638,0.0026346087
2017-12-02 08:00:00,335.29483,273.87534,-0.13829687,-0.07632455,-0.2256208,324.80545,41.72132,0.0030499634
2017-12-02 08:15:00,336.75653,273.66467,-0.15532078,-0.15782806,-0.020233884,324.5448,49.796104,0.003584648
2017-12-02 08:30:00,336.7258,273.68124,0.02057905,0.05690162,0.49518302,324.552,49.57854,0.0035727995
2017-12-02 08:45:00,335.97745,273.5564,-0.007824412,-0.52626944,0.18352422,324.38446,47.558037,0.0033955523
2017-12-02 09:00:00,336.34528,273.68967,-0.030265585,-0.28164965,0.08494715,324.52774,48.042572,0.003462944
2017-12-02 09:15:00,336.63513,273.52103,0.044709485,0.104190744,0.27877074,324.32605,50.813297,0.0036180147
2017-12-02 09:30:00,336.4101,273.36417,-0.0010246707,-0.1165669,0.07415912,324.12613,51.33507,0.0036131735
